Molecule,4(N)_q(N)_Hirshfeld,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N),Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N),Density of all electrons_N-1_4(N),Density of Alpha electrons_N-1_4(N),Density of Beta electrons_N-1_4(N),Lagrangian kinetic energy G(r)_N-1_4(N),Hamiltonian kinetic energy K(r)_N-1_4(N),Potential energy density V(r)_N-1_4(N),Energy density E(r) or H(r)_N-1_4(N),Laplacian of electron density_N-1_4(N),Electron localization function (ELF)_N-1_4(N),Localized orbital locator (LOL)_N-1_4(N),Local information entropy_N-1_4(N),Sign(lambda2)*rho_N-1_4(N),Sign(lambda2)*rho with promolecular approximation_N-1_4(N),Average local ionization energy (ALIE)_N-1_4(N),Delta-g (under promolecular approximation)_N-1_4(N),Delta-g (under Hirshfeld partition)_N-1_4(N),ESP from nuclear charges_N-1_4(N),ESP from electrons_N-1_4(N),Total ESP_N-1_4(N),Density of all electrons_(N)-(N-1)_4(N),Density of all electrons_(N+1)-(N)_4(N),Density of all electrons_(N+1)-(N-1)_4(N),Density of Alpha electrons_(N)-(N-1)_4(N),Density of Alpha electrons_(N+1)-(N)_4(N),Density of Alpha electrons_(N+1)-(N-1)_4(N),Density of Beta electrons_(N)-(N-1)_4(N),Density of Beta electrons_(N+1)-(N)_4(N),Density of Beta electrons_(N+1)-(N-1)_4(N),Lagrangian kinetic energy G(r)_(N)-(N-1)_4(N),Lagrangian kinetic energy G(r)_(N+1)-(N)_4(N),Lagrangian kinetic energy G(r)_(N+1)-(N-1)_4(N),Hamiltonian kinetic energy K(r)_(N)-(N-1)_4(N),Hamiltonian kinetic energy K(r)_(N+1)-(N)_4(N),Hamiltonian kinetic energy K(r)_(N+1)-(N-1)_4(N),Potential energy density V(r)_(N)-(N-1)_4(N),Potential energy density V(r)_(N+1)-(N)_4(N),Potential energy density V(r)_(N+1)-(N-1)_4(N),Energy density E(r) or H(r)_(N)-(N-1)_4(N),Energy density E(r) or H(r)_(N+1)-(N)_4(N),Energy density E(r) or H(r)_(N+1)-(N-1)_4(N),Laplacian of electron density_(N)-(N-1)_4(N),Laplacian of electron density_(N+1)-(N)_4(N),Laplacian of electron density_(N+1)-(N-1)_4(N),Electron localization function (ELF)_(N)-(N-1)_4(N),Electron localization function (ELF)_(N+1)-(N)_4(N),Electron localization function (ELF)_(N+1)-(N-1)_4(N),Localized orbital locator (LOL)_(N)-(N-1)_4(N),Localized orbital locator (LOL)_(N+1)-(N)_4(N),Localized orbital locator (LOL)_(N+1)-(N-1)_4(N),Local information entropy_(N)-(N-1)_4(N),Local information entropy_(N+1)-(N)_4(N),Local information entropy_(N+1)-(N-1)_4(N),Sign(lambda2)*rho_(N)-(N-1)_4(N),Sign(lambda2)*rho_(N+1)-(N)_4(N),Sign(lambda2)*rho_(N+1)-(N-1)_4(N),Sign(lambda2)*rho with promolecular approximation_(N)-(N-1)_4(N),Sign(lambda2)*rho with promolecular approximation_(N+1)-(N)_4(N),Sign(lambda2)*rho with promolecular approximation_(N+1)-(N-1)_4(N),Average local ionization energy (ALIE)_(N)-(N-1)_4(N),Average local ionization energy (ALIE)_(N+1)-(N)_4(N),Average local ionization energy (ALIE)_(N+1)-(N-1)_4(N),Delta-g (under promolecular approximation)_(N)-(N-1)_4(N),Delta-g (under promolecular approximation)_(N+1)-(N)_4(N),Delta-g (under promolecular approximation)_(N+1)-(N-1)_4(N),Delta-g (under Hirshfeld partition)_(N)-(N-1)_4(N),Delta-g (under Hirshfeld partition)_(N+1)-(N)_4(N),Delta-g (under Hirshfeld partition)_(N+1)-(N-1)_4(N),ESP from nuclear charges_(N)-(N-1)_4(N),ESP from nuclear charges_(N+1)-(N)_4(N),ESP from nuclear charges_(N+1)-(N-1)_4(N),ESP from electrons_(N)-(N-1)_4(N),ESP from electrons_(N+1)-(N)_4(N),ESP from electrons_(N+1)-(N-1)_4(N),Total ESP_(N)-(N-1)_4(N),Total ESP_(N+1)-(N)_4(N),Total ESP_(N+1)-(N-1)_4(N)
CHEMBL1743593-conf_6,-0.0688894883,195.4527748,97.72638742,97.72638742,18.66524214,367293.2749,-367311.9402,-367293.2749,-1469098.439,0.9999990247,0.9990134178,-1.309824041,-193.1623677,-193.1623677,14.15387632,0.05025640713,0.07128860145,2269750.821,-35.93807818,2269714.883,195.4930342,97.8024307,97.69060347,18.56592204,367361.2919,-367379.8578,-367361.2919,-1469370.904,0.9999990358,0.999018999,-1.278261653,-193.1573765,-193.1573765,13.9536524,0.05107141043,0.07278760884,1390912.645,-35.25397983,1390877.391,195.4623407,97.72942755,97.73291317,18.62006458,367306.9695,-367325.5896,-367306.9695,-1469153.398,0.9999990296,0.9990158835,-1.343059019,-193.1640999,-193.1640999,14.32642795,0.04900999967,0.06943867719,3266973.096,-35.63087953,3266937.466,-0.0095659000000125,0.0402594000000249,0.0306935000000123,-0.0030401300000022,0.0760432800000074,0.0730031500000052,-0.0065257500000086,-0.0357839499999954,-0.0423097000000041,0.045177559999999,-0.0993200999999999,-0.0541425400000008,-13.694599999987986,68.01699999999255,54.32240000000456,13.649399999994785,-67.91759999998612,-54.26819999999134,13.694599999987986,-68.01699999999255,-54.32240000000456,54.95900000003167,-272.4650000000838,-217.50600000005213,-4.899999961338608e-09,1.1100000030239698e-08,6.20000006890109e-09,-2.465700000064963e-06,5.581200000048803e-06,3.1154999999838395e-06,0.033234978,0.031562388,0.064797366,0.0017321999999921,0.0049912000000063,0.0067233999999984,0.0017321999999921,0.0049912000000063,0.0067233999999984,-0.1725516299999991,-0.2002239200000009,-0.37277555,0.00124640746,0.0008150032999999,0.00206141076,0.0018499242599999,0.00149900739,0.0033489316499999,-997222.275,-878838.176,-1876060.451,-0.3071986499999966,0.6840983499999993,0.3768997000000027,-997222.583,-878837.4919999999,-1876060.075
CHEMBL1743593-conf_7,-0.0701648484,195.4558448,97.72792238,97.72792238,18.66663099,367300.9397,-367319.6064,-367300.9397,-1469129.092,0.9999990246,0.9990133702,-1.309875313,-193.1622956,-193.1622956,14.15350783,0.05053225337,0.07160907894,2274381.863,-35.95279303,2274345.91,195.4507843,97.73645773,97.71432653,18.6453105,367287.4721,-367306.1174,-367287.4721,-1469075.307,0.9999990268,0.9990144535,-1.277567124,-193.1597048,-193.1597048,13.97467265,0.0511709443,0.07279127196,1656869.75,-35.61158796,1656834.138,195.4645155,97.73108913,97.73342636,18.62355168,367308.9598,-367327.5833,-367308.9598,-1469161.345,0.9999990293,0.9990157177,-1.34309593,-193.1637854,-193.1637854,14.32349944,0.04944150694,0.06998266095,3108626.925,-35.57435602,3108591.351,-0.0086707000000103,-0.0050604999999848,-0.0137311999999951,-0.0031667500000054,0.0085353500000024,0.005368599999997,-0.0055039800000002,-0.0135958500000015,-0.0190998300000018,0.043079310000003,-0.0213204900000008,0.0217588200000022,-8.020100000023376,-13.467599999974482,-21.487699999997854,7.976900000008754,13.489000000001395,21.46590000001015,8.020100000023376,13.467599999974482,21.487699999997854,32.25300000002608,53.78499999991618,86.03799999994226,-4.699999944790534e-09,2.1999999599842113e-09,-2.499999984806322e-09,-2.347499999943992e-06,1.0832999999266235e-06,-1.264200000017368e-06,0.033220617,0.0323081890000001,0.0655288060000001,0.0014898000000016,0.0025908000000072,0.0040806000000088,0.0014898000000016,0.0025908000000072,0.0040806000000088,-0.1699916100000003,-0.1788351800000001,-0.3488267900000004,0.00109074643,0.0006386909299999,0.00172943736,0.00162641799,0.0011821930199999,0.00280861101,-834245.0619999999,-617512.1129999999,-1451757.1749999998,-0.3784370099999989,0.3412050700000009,-0.037231939999998,-834245.4409999996,-617511.7720000001,-1451757.2129999998
CHEMBL1743593-conf_8,-0.0685533933,195.4578046,97.7289023,97.7289023,18.66762903,367304.1192,-367322.7868,-367304.1192,-1469141.806,0.9999990246,0.999013334,-1.309908046,-193.1623377,-193.1623377,14.15372502,0.05056417726,0.07165658081,2278199.966,-35.99459925,2278163.971,195.4894477,97.80093506,97.6885126,18.57949738,367354.7681,-367373.3476,-367354.7681,-1469344.754,0.9999990343,0.9990182524,-1.278202692,-193.1576119,-193.1576119,13.95457195,0.05126244258,0.07302767469,1419484.593,-35.31612395,1419449.277,195.5078734,97.78618473,97.72168866,18.5625203,367384.0021,-367402.5646,-367384.0021,-1469461.758,0.9999990364,0.9990193024,-1.343831863,-193.164668,-193.164668,14.35185667,0.04752728426,0.06769274699,3626248.12,-35.88726381,3626212.233,-0.0500687999999911,0.0316430999999965,-0.0184256999999945,-0.0572824300000007,0.072032759999999,0.0147503299999982,0.0072136400000033,-0.0403897000000057,-0.0331760600000023,0.1051087300000013,-0.0881316500000011,0.0169770800000002,-79.88289999996778,50.64889999997104,-29.23399999999674,79.77779999998165,-50.56079999997746,29.21700000000419,79.88289999996778,-50.64889999997104,29.23399999999674,319.9519999998156,-202.94799999985844,117.00399999995716,-1.1799999977135656e-08,9.70000002542548e-09,-2.099999951710174e-09,-5.968400000000429e-06,4.91839999994248e-06,-1.050000000057949e-06,0.0339238169999998,0.031705354,0.0656291709999998,0.0023303000000112,0.0047257999999885,0.0070560999999997,0.0023303000000112,0.0047257999999885,0.0070560999999997,-0.1981316500000005,-0.1991530699999995,-0.39728472,0.003036893,0.0006982653199999,0.00373515832,0.0039638338199999,0.00137109388,0.0053349277,-1348048.154,-858715.3729999999,-2206763.527,-0.1073354399999999,0.6784753000000023,0.5711398600000024,-1348048.262,-858714.6939999999,-2206762.956
CHEMBL1743593-conf_9,-0.0707840067,195.4644096,97.73220479,97.73220479,18.64908909,367318.4044,-367337.0535,-367318.4044,-1469199.021,0.9999990266,0.9990143684,-1.310018362,-193.1623251,-193.1623251,14.15370412,0.05026843563,0.07129342872,2283868.429,-35.84179813,2283832.587,195.51488,97.818104,97.69677596,18.53728392,367402.1672,-367420.7045,-367402.1672,-1469534.52,0.9999990391,0.999020693,-1.278620802,-193.1572375,-193.1572375,13.95352146,0.05103740206,0.07271273117,1386207.46,-35.1421093,1386172.318,195.4734741,97.7357356,97.73773852,18.60530199,367330.7343,-367349.3396,-367330.7343,-1469248.516,0.9999990313,0.9990167563,-1.343247981,-193.1638617,-193.1638617,14.32192123,0.04899823846,0.06938158106,3208711.34,-35.46420996,3208675.876,-0.0090644999999938,0.0504703999999947,0.0414059000000008,-0.0035308100000008,0.085899210000008,0.0823684000000071,-0.0055337299999962,-0.0354288300000007,-0.0409625599999969,0.0437870999999994,-0.1118051700000002,-0.0680180700000008,-12.329900000011548,83.76280000002589,71.43290000001434,12.286100000026636,-83.65100000001257,-71.36489999998594,12.329900000011548,-83.76280000002589,-71.43290000001434,49.49500000011176,-335.4990000000689,-286.0039999999572,-4.700000055812836e-09,1.2500000035053917e-08,7.799999979241079e-09,-2.387899999956033e-06,6.324599999940617e-06,3.936699999984583e-06,0.0332296189999998,0.03139756,0.0646271789999999,0.0015366000000085,0.0050875999999959,0.0066242000000045,0.0015366000000085,0.0050875999999959,0.0066242000000045,-0.1682171099999987,-0.2001826600000011,-0.3683997699999999,0.0012701971699999,0.00076896643,0.0020391635999999,0.0019118476599999,0.00141930245,0.00333115011,-924842.9109999998,-897660.969,-1822503.88,-0.3775881700000028,0.6996888299999995,0.3221006599999967,-924843.2890000005,-897660.2689999999,-1822503.558
CHEMBL1743594,-0.0560220204,195.4863779,97.74318895,97.74318895,18.72467354,367366.661,-367385.3857,-367366.661,-1469391.745,0.9999990191,0.9990105628,0.1616294308,-193.1643582,-193.1643582,14.1469102,0.04992499474,0.07099455225,2951774.201,-50.66398254,2951723.537,195.4732044,97.74121789,97.73198649,18.8066083,367348.7568,-367367.5634,-367348.7568,-1469319.801,0.9999990102,0.999006126,0.1644266974,-193.163746,-193.163746,13.97864315,0.04809545528,0.06905540836,2651065.567,-51.09028829,2651014.477,195.4837102,97.74182375,97.74188642,18.7119723,367358.9434,-367377.6554,-367358.9434,-1469360.926,0.9999990204,0.9990112108,0.1588474969,-193.1643054,-193.1643054,14.22064722,0.0499994612,0.07101371706,2963086.062,-49.96660129,2963036.096,0.0026677000000177,-0.0131735000000219,-0.0105058000000042,0.0013652000000092,-0.0019710600000024,-0.0006058599999931,0.0013025300000037,-0.0112024600000069,-0.0098999300000031,0.0127012400000019,0.0819347599999993,0.0946360000000012,7.717600000032689,-17.90420000004815,-10.18660000001546,-7.730299999995623,17.822299999999814,10.092000000004193,-7.717600000032689,17.90420000004815,10.18660000001546,-30.81900000013411,71.94400000013411,41.125,-1.2999999965401796e-09,-8.899999959233185e-09,-1.0199999955773364e-08,-6.479999999919883e-07,-4.436799999951724e-06,-5.084799999943712e-06,0.0027819339,0.0027972665999999,0.0055792004999999,-5.2800000020170046e-05,0.0006122000000061,0.0005593999999859,-5.2800000020170046e-05,0.0006122000000061,0.0005593999999859,-0.0737370199999993,-0.1682670500000007,-0.2420040700000001,-7.446645999999862e-05,-0.00182953946,-0.00190400592,-1.91648099999997e-05,-0.0019391438899999,-0.0019583086999999,-11311.861000000034,-300708.6340000001,-312020.4950000001,-0.6973812499999994,-0.4263057499999974,-1.1236869999999968,-11312.558999999892,-300709.06000000006,-312021.61899999995
CHEMBL1743594-conf_1,-0.076858007,195.5067747,97.75338737,97.75338737,18.80884416,367422.6027,-367441.4116,-367422.6027,-1469615.176,0.9999990106,0.9990062921,0.1615605896,-193.1660993,-193.1660993,14.09718941,0.04863510921,0.06985467466,4105207.086,-53.42182862,4105153.664,195.4875296,97.74821902,97.73931054,18.83625891,367387.7487,-367406.5849,-367387.7487,-1469475.65,0.9999990074,0.9990046821,0.1643788072,-193.1643076,-193.1643076,13.95148219,0.04766186446,0.06884666831,2921960.947,-53.11151958,2921907.835,195.5082094,97.75419365,97.75401574,18.77279298,367421.085,-367439.8578,-367421.085,-1469609.249,0.9999990144,0.999008207,0.158764026,-193.1668751,-193.1668751,14.21610648,0.04890957914,0.06997161938,5234751.286,-53.05707457,5234698.229,-0.0014347000000043,-0.0192451000000062,-0.0206798000000105,-0.0008062800000061,-0.0051683500000052,-0.0059746300000114,-0.0006283700000011,-0.0140768299999933,-0.0147051999999945,0.0360511800000011,0.0274147500000019,0.0634659300000031,1.51769999996759,-34.853999999992084,-33.336300000024494,-1.5537999999942258,34.82669999997597,33.272899999981746,-1.51769999996759,34.853999999992084,33.336300000024494,-5.92699999990873,139.52600000007078,133.59900000016205,-3.800000092368805e-09,-3.1999999317022802e-09,-7.0000000240710855e-09,-1.914900000010711e-06,-1.6099999999852344e-06,-3.524899999995945e-06,0.0027965635999999,0.0028182176,0.0056147812,0.0007757999999853,0.0017917000000124,0.0025674999999978,0.0007757999999853,0.0017917000000124,0.0025674999999978,-0.1189170700000001,-0.1457072200000002,-0.2646242900000004,-0.00027446993,-0.0009732447499999,-0.0012477146799999,-0.0001169447199999,-0.00100800635,-0.00112495107,-1129544.2000000002,-1183246.139,-2312790.339,-0.3647540500000019,0.3103090399999999,-0.054445010000002,-1129544.5650000004,-1183245.829,-2312790.3940000003
CHEMBL1743594-conf_10,-0.063530375,195.4917614,97.74588072,97.74588072,18.72603339,367385.4026,-367404.1286,-367385.4026,-1469466.706,0.999999019,0.9990105364,0.1616112617,-193.1640238,-193.1640238,14.11946478,0.04992942173,0.07106196263,2801998.649,-51.31949378,2801947.329,195.4732881,97.74089295,97.73239512,18.75394219,367348.866,-367367.6199,-367348.866,-1469320.448,0.9999990158,0.9990089072,0.1644264177,-193.1632644,-193.1632644,13.98605546,0.04910733975,0.07019526453,2471526.844,-51.09308975,2471475.751,195.4977943,97.74888843,97.74890585,18.65736276,367387.5603,-367406.2176,-367387.5603,-1469475.612,0.9999990263,0.9990142119,0.1587995128,-193.1633866,-193.1633866,14.24103984,0.05024865468,0.0712847492,2649967.29,-50.77052733,2649916.52,-0.0060329000000081,-0.0184733000000107,-0.0245062000000189,-0.0030077099999914,-0.0049877699999996,-0.007995479999991,-0.0030251299999974,-0.0134855999999956,-0.0165107299999931,0.0686706299999997,0.0279087999999987,0.0965794299999984,-2.1577000000397675,-36.53659999999218,-38.69430000003194,2.088999999978114,36.508700000005774,38.59769999998389,2.1577000000397675,36.53659999999218,38.69430000003194,8.905999999959022,146.25799999991432,155.16399999987334,-7.300000048893196e-09,-3.2000000427245823e-09,-1.0500000091617778e-08,-3.675499999911125e-06,-1.6292000000195372e-06,-5.304699999930662e-06,0.0028117489,0.0028151559999999,0.0056269049,-0.0006371999999998,0.0007593999999926,0.0001221999999927,-0.0006371999999998,0.0007593999999926,0.0001221999999927,-0.1215750599999996,-0.1334093200000001,-0.2549843799999998,-0.0003192329499999,-0.00082208198,-0.0011413149299999,-0.0002227865699999,-0.0008666981,-0.00108948467,152031.35900000017,-330471.80500000017,-178440.446,-0.5489664500000018,0.2264040300000047,-0.322562419999997,152030.8089999999,-330471.57799999975,-178440.76899999983
CHEMBL1743594-conf_2,-0.0640624796,195.4891867,97.74459333,97.74459333,18.76436344,367385.2364,-367404.0008,-367385.2364,-1469465.888,0.999999015,0.9990084913,0.1616199516,-193.165311,-193.165311,14.11127937,0.04907425865,0.0700698401,3553296.698,-52.95121208,3553243.746,195.4648941,97.74016029,97.72473377,18.7742597,367335.4613,-367354.2356,-367335.4613,-1469266.748,0.9999990135,0.9990077636,0.1644544775,-193.1634866,-193.1634866,13.9755972,0.04991625325,0.0712864531,2483040.559,-52.41365215,2482988.146,195.5082313,97.75406757,97.75416378,18.73228806,367420.0342,-367438.7665,-367420.0342,-1469605.208,0.9999990186,0.999010345,0.1587639512,-193.1653142,-193.1653142,14.22119029,0.04723771097,0.0678829374,3888822.633,-52.69667063,3888769.936,-0.0190446000000008,-0.0242925999999954,-0.0433371999999963,-0.0094742400000029,-0.004433039999995,-0.0139072799999979,-0.0095704499999982,-0.0198595600000004,-0.0294300099999986,0.0320753800000019,0.0098962600000014,0.0419716400000034,-34.79780000000028,-49.77509999996983,-84.5728999999701,34.76570000004722,49.76519999996526,84.53090000001248,34.79780000000028,49.77509999996983,84.5728999999701,139.3200000000652,199.1400000001304,338.4600000001956,-3.599999964798428e-09,-1.500000013088254e-09,-5.099999977886682e-09,-1.853699999943004e-06,-7.2770000003608e-07,-2.581399999979084e-06,0.0028560004,0.0028345258999999,0.0056905262999999,3.2000000089738023e-06,0.0018244000000038,0.0018276000000128,3.2000000089738023e-06,0.0018244000000038,0.0018276000000128,-0.109910919999999,-0.1356821700000008,-0.2455930899999998,0.00183654768,0.0008419945999999,0.00267854228,0.0021869027,0.0012166129999999,0.0034035156999999,-335525.93500000006,-1070256.139,-1405782.074,-0.2545414499999978,0.5375599300000005,0.2830184800000026,-335526.1900000004,-1070255.5999999996,-1405781.79
CHEMBL1743594-conf_3,-0.0584692258,195.484967,97.74248348,97.74248348,18.72450273,367368.996,-367387.7205,-367368.996,-1469401.086,0.9999990191,0.9990105599,0.1616341926,-193.1645662,-193.1645662,14.12031514,0.04997301718,0.07106439445,3058290.741,-52.0228243,3058238.718,195.4793007,97.75009778,97.72920294,18.75368592,367360.4075,-367379.1611,-367360.4075,-1469366.615,0.9999990159,0.9990089715,0.1644063174,-193.163376,-193.163376,13.97450524,0.04941930508,0.07067923972,2457184.985,-51.44959201,2457133.535,195.4863435,97.74356441,97.74277909,18.68408684,367369.2765,-367387.9606,-367369.2765,-1469402.37,0.9999990233,0.999012705,0.1588385256,-193.16433,-193.16433,14.23493137,0.04980174095,0.07072267676,3137214.041,-51.57439854,3137162.466,-0.0013764999999921,-0.0056663000000014,-0.0070427999999935,-0.0010809300000005,0.0076143000000001,0.0065333699999996,-0.0002956099999948,-0.0132805400000108,-0.0135761500000057,0.040415890000002,0.0291831899999976,0.0695990799999997,-0.2804999999934807,-8.588500000012573,-8.869000000006054,0.2400999999954365,8.559399999969173,8.79949999996461,0.2804999999934807,8.588500000012573,8.869000000006054,1.2840000002179297,34.47099999990314,35.75500000012107,-4.200000014442651e-09,-3.2000000427245823e-09,-7.400000057167233e-09,-2.145099999961708e-06,-1.5883999999743992e-06,-3.7334999999361074e-06,0.002795667,0.0027721247999999,0.0055677917999999,-0.0002361999999891,0.0011901999999963,0.0009540000000072,-0.0002361999999891,0.0011901999999963,0.0009540000000072,-0.1146162299999993,-0.1458099000000015,-0.2604261300000008,0.00017127623,-0.0005537120999999,-0.0003824358699999,0.0003417176899999,-0.00038515473,-4.3437040000010585e-05,-78923.30000000028,-601105.756,-680029.0560000003,-0.4484257600000063,0.57323229,0.1248065299999936,-78923.74800000014,-601105.1829999997,-680028.9309999999
CHEMBL1743594-conf_4,-0.0747099186,195.5053575,97.75267875,97.75267875,18.81690249,367417.8912,-367436.7081,-367417.8912,-1469596.297,0.9999990097,0.9990058548,0.1615653732,-193.1662568,-193.1662568,14.09883622,0.04840909692,0.06955850566,4221446.426,-53.34352994,4221393.082,,,,,,,,,,,,,,,,,,,,195.5064481,97.75317963,97.75326844,18.77925795,367419.2339,-367438.0131,-367419.2339,-1469601.819,0.9999990137,0.9990078509,0.1587700274,-193.1665796,-193.1665796,14.19646723,0.04899094318,0.07008145121,4797945.015,-52.53543665,4797892.479,-0.0010905999999977,,,-0.0005008800000041,,,-0.0005896899999981,,,0.0376445399999987,,,-1.3426999999792315,,,1.304999999993015,,,1.3426999999792315,,,5.521999999880791,,,-3.9999999978945774e-09,,,-1.9960999999568685e-06,,,0.0027953457999999,,,0.0003227999999921,,,0.0003227999999921,,,-0.0976310099999988,,,-0.00058184626,,,-0.00052294555,,,-576498.5889999997,,,-0.8080932900000022,,,-576499.3969999999,,
CHEMBL1743594-conf_5,-0.0654722344,195.5121552,97.75607762,97.75607762,18.80992408,367436.385,-367455.195,-367436.385,-1469670.3,0.9999990106,0.9990062807,0.1615424285,-193.1672079,-193.1672079,14.09803915,0.04906491391,0.07038704927,5212616.324,-54.99987934,5212561.324,195.4821941,97.74524029,97.73695378,18.82939847,367380.0517,-367398.8811,-367380.0517,-1469444.889,0.999999008,0.999004999,0.1643966447,-193.1652404,-193.1652404,13.96170928,0.0488366428,0.07012198735,3219823.122,-54.9161519,3219768.206,195.5118294,97.75544798,97.75638138,18.74334712,367430.2025,-367448.9459,-367430.2025,-1469645.837,0.9999990175,0.9990097917,0.1587516913,-193.1665157,-193.1665157,14.22218677,0.04961897065,0.07067984989,4708289.244,-54.48120826,4708234.762,0.0003257999999846,-0.0299611000000084,-0.0296353000000237,0.0006296399999996,-0.010837330000001,-0.0102076900000014,-0.0003037599999942,-0.0191238400000059,-0.0194276000000002,0.066576959999999,0.0194743900000027,0.0860513500000017,6.182499999995343,-56.33329999999842,-50.15080000000307,-6.24910000001546,56.31390000000829,50.06479999999283,-6.182499999995343,56.33329999999842,50.15080000000307,-24.462999999988824,225.4110000000801,200.94800000009127,-6.9000000157970476e-09,-2.5999999930803597e-09,-9.500000008877409e-09,-3.5110000000670998e-06,-1.2817000000220349e-06,-4.792700000089134e-06,0.0027907372,0.0028542162,0.0056449534,-0.0006922000000031,0.0019675000000063,0.0012753000000031,-0.0006922000000031,0.0019675000000063,0.0012753000000031,-0.1241476200000004,-0.136329869999999,-0.2604774899999995,-0.0005540567399999,-0.0002282711099999,-0.0007823278499999,-0.0002928006199999,-0.00026506192,-0.0005578625399999,504327.0800000001,-1992793.202,-1488466.122,-0.5186710799999972,0.0837274399999969,-0.4349436400000002,504326.5619999999,-1992793.118,-1488466.5560000003
CHEMBL1743594-conf_6,-0.0742800613,195.5051302,97.75256512,97.75256512,18.81174091,367417.2627,-367436.0744,-367417.2627,-1469593.804,0.9999990102,0.9990061253,0.1615661403,-193.1662031,-193.1662031,14.09929153,0.04859407791,0.06976383917,4171851.274,-53.18478775,4171798.089,195.4856366,97.74655541,97.73908117,18.83830326,367379.505,-367398.3433,-367379.505,-1469442.667,0.9999990071,0.9990045581,0.1643851358,-193.1644538,-193.1644538,13.9552982,0.04713815067,0.06823683095,3005842.936,-53.56563527,3005789.37,195.5053273,97.7532938,97.75203353,18.75781969,367410.6766,-367429.4345,-367410.6766,-1469567.675,0.9999990159,0.999008973,0.1587738461,-193.1661039,-193.1661039,14.21952849,0.04940094958,0.07050855023,4176313.562,-52.72160424,4176260.84,-0.0001971000000082,-0.0194936000000041,-0.0196907000000123,-0.0007286799999945,-0.0060097100000007,-0.0067383899999953,0.0005315899999942,-0.0134839499999941,-0.0129523599999998,0.0539212199999994,0.0265623499999989,0.0804835699999984,6.586100000014994,-37.75770000001648,-31.17160000000149,-6.63990000000922,37.73109999997541,31.091199999966197,-6.586100000014994,37.75770000001648,31.17160000000149,-26.12899999995716,151.1370000001043,125.00800000014716,-5.699999916508602e-09,-3.100000034450545e-09,-8.799999950959148e-09,-2.8477000000304287e-06,-1.5671999999966602e-06,-4.414900000027089e-06,0.0027922941999999,0.0028189955,0.0056112896999999,-9.919999999397078e-05,0.0017493000000001,0.0016501000000062,-9.919999999397078e-05,0.0017493000000001,0.0016501000000062,-0.1202369599999997,-0.1439933300000007,-0.2642302900000004,-0.00080687167,-0.00145592724,-0.00226279891,-0.00074471106,-0.00152700822,-0.00227171928,-4462.287999999709,-1166008.338,-1170470.6259999997,-0.4631835100000003,-0.3808475200000032,-0.8440310300000036,-4462.750999999698,-1166008.719,-1170471.4699999995
